"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1"
31.300,0.29,0.13,-0.66
31.350,0.30,0.09,-1.19
31.400,0.30,0.01,-1.47
31.450,0.31,-0.08,-1.37
31.500,0.29,-0.14,-0.85
31.550,0.29,-0.17,-0.22
31.600,0.28,-0.15,0.32
31.650,0.27,-0.13,0.71
31.700,0.27,-0.08,0.96
31.750,0.26,-0.03,1.10
31.800,0.26,0.03,1.09
31.850,0.27,0.09,0.92
31.900,0.27,0.13,0.58
31.950,0.28,0.15,0.12
32.000,0.29,0.14,-0.37
32.050,0.30,0.11,-0.79
32.100,0.30,0.06,-1.06
32.150,0.30,0.00,-1.16
32.200,0.30,-0.06,-1.06
32.250,0.30,-0.11,-0.79
32.300,0.29,-0.15,-0.37
32.350,0.28,-0.16,0.14
32.400,0.27,-0.13,0.64
32.450,0.27,-0.09,1.02
32.500,0.26,-0.02,1.20
32.550,0.26,0.04,1.15
32.600,0.27,0.10,0.90
32.650,0.27,0.14,0.49
32.700,0.28,0.15,0.02
32.750,0.29,0.14,-0.45
32.800,0.30,0.10,-0.83
32.850,0.30,0.05,-1.07
32.900,0.30,-0.01,-1.09
32.950,0.30,-0.07,-0.93
33.000,0.29,-0.11,-0.66
33.050,0.29,-0.13,-0.34
33.100,0.28,-0.14,0.10
33.150,0.27,-0.13,0.59
33.200,0.27,-0.08,0.98
33.250,0.26,-0.02,1.12
33.300,0.27,0.04,1.04
33.350,0.27,0.09,0.86
33.400,0.27,0.13,0.56
33.450,0.28,0.15,0.10
33.500,0.29,0.14,-0.47
33.550,0.30,0.10,-0.96
33.600,0.30,0.04,-1.17
33.650,0.30,-0.03,-1.12
33.700,0.30,-0.08,-0.87
33.750,0.29,-0.12,-0.53
33.800,0.28,-0.14,-0.15
33.850,0.28,-0.13,0.27
33.900,0.27,-0.11,0.65
33.950,0.27,-0.07,0.94
34.000,0.26,-0.01,1.09
34.050,0.26,0.05,1.04
34.100,0.27,0.10,0.79
34.150,0.28,0.13,0.39
34.200,0.28,0.14,-0.08
